Field=Comment~String~Comment~135|Field=Description~String~Description~151|Field=Designator~String~Designator~131|Field=Footprint~String~Footprint~172|Field=Quantity~Integer~Quantity~87|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCBLaserControlBoardV1.0.PrjPcb|ReportField=ProjectFullPath~C:\Users\FxSlava\Documents\Laser-LED-STM-Board-Project\LaserControlBoard\PCBLaserControlBoardV1.0.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [LaserControlBoard (extended).PcbDoc]|ReportField=TotalQuantity~444|ReportField=ReportTime~10:22:58 AM|ReportField=ReportDate~8/2/2016|ReportField=ReportDateTime~8/2/2016 10:22:58 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~LaserControlBoard (extended).PcbDoc|ReportField=DataSourceFullPath~C:\Users\FxSlava\Documents\Laser-LED-STM-Board-Project\LaserControlBoard\LaserControlBoard (extended).PcbDoc
Diode 1N4007|1 Amp General Purpose Rectifier|D17, D18, D19, D20|DO-41|4
LED||ETH PWR 1, STM PWR 1, WIFI PWR 1|PLCC-2|3
Fuse|Fuse PTC 1812 Thermoresistor|F1, F2|PTC1812|2
Header 3 Latch|Header 3 with latch|Foot1, P1, P2, P11, P12, P13, P14, P15|Header 3 latch|8
D Connector 15|Receptacle Assembly, 15 Position, Right Angle|J1|DSUB1.385-2H15|1
Relay 1 pole|Relay G5LE 10A Single Pole|K1, K2, K3, K4|G5LA|4
IM07GR|Signal relay|K5|IM0XGR|1
Inductance|Inductance|L1, L3|CDRH2D14|2
Inductance|Inductance|L2, L4, L5|CM45|3
LED 0603||LED1, LED2, LED3, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LINK1, PWR1, RUN1|LED 0603|14
LED 0603||LED4, LED5, LED6, LED7|PLCC-2|4
Terminal Block 8x5.08mm|Terminal Block Socket Right Angle 8x5.08mm 2-Wall|P3|SOCKET 8x5.08|1
mini-USB|mini-USB|P4|USB/SM0.8-6H5|1
Header 8|Header, 8-Pin|P5|HDR1X8|1
Terminal Block 4x5.08mm|Terminal Block Socket Right Angle 4x5.08mm 2-Wall|P6|Socket 4x5.08|1
Micro SD Card Connector|Micro SD Card Connector|P7|WR-CRD SD Micro|1
Header 5X2|Header, 5-Pin, Dual row|P8|HDR2X5|1
FPC_Socket||P9|MOLEX Header 8 2mm Pitch|1
Header 8x2|Header 16pins (8x2) Hold Latch|P10|Header 8x2 HL|1
Terminal Block 2x5.08mm|Terminal Block Socket Right Angle 2x5.08mm 2 Wall|P16, P23|Socket 2x5.08|2
Header 6|Header, 6-Pin|P17|HDR1X6|1
Terminal Block 6x5.08mm|Terminal Block Socket Right Angle 6x5.08mm 2-Wall|P18|Socket 6x5.08|1
Terminal Block 3x5.08mm|Terminal Block Socket Right Angle 3x5.08mm 2-Wall|P19, P20, P21, P22|Socket 3x5.08|4
FPC_Socket||P24|Molex FPC/FFC 10pin|1
IRFZ44|HEXFET N-Channel Power MOSFET|Q1, Q5, Q6, Q10, Q13, Q16|TO-263AB|6
BC847|NPN transistor|Q2, Q4, Q7, Q9, Q14, Q18, Q24, Q25, Q26, Q27, Q28, Q29, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37|SOT23|20
BC857|PNP Transistor|Q3, Q8, Q12, Q15, Q19, Q20, Q21, Q22, Q23|SOT23|9
BC847B|SOT23 NPN Silicon Planar General Purpose Transistor|Q11|SOT23|1
TIP41|NPN Epitaxial silicon transistor|Q17|TO-220|1
Varistor S14F25|varistor|RU1, RU2|S14K25|2
CEP-2242|Buzzer|SP1|Buzzer|1
LM3671|600-mA Step-Down DC-DC Converter|U1, U10|SOT23-5|2
HCPL0631|2-channel opto-coupler|U2, U4, U6, U7, U8, U9|SOIC8|6
LAN8720|Small Footprint RMII 10/100 Ethernet  Transceiver|U3|QFN50P375X375X85_HS-25N|1
SPWF01SA|Serial-to-Wi-Fi b/g/n intelligent module|U5|SPWF01SA|1
Optoisolator1|4-Pin Phototransistor Optocoupler|U11, U14, U15, U16, U18, U19, U20, U23, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43|DIP-4|27
ULN2003AD|Darlington Transistor Array|U12|D016_N|1
STM32F407|ST Microcontroller ARM 32-bit Cortex M4|U13|LQFP144|1
MC34063|DC/DC converter control circuit|U17|SOP8|1
TL431ACD|Adjustable Precision Shunt Regulator|U21|D008_N|1
LM358AD|Dual Operational Amplifier|U22|D008_L|1
TLC6515CD|10-bit analog to digiyal converter|U24|SOIC8|1
MCP3201-CI/MS|SAR 12-bit Analog-to-Digital  (A/D)|U44, U46|MSOP8|2
MCP601|Operational Amplifier|U45, U47|SOIC8|2
LM7805|Linear voltage regulator 1A|U48|TO-220|1
XTAL|Quartz crystall oscillator|X1, X2|BCY-W2/E4.7|2
